email_text,sentiment
"sent by:	melobsin@ncsu.edu  reply-to:	melobsin@ncsu.edu  to:	  bcc:	group-scholars-students-all@ncsu.edu  :	Apr 29, 2024, 1:23 PM  subject:	UHP Requirements Explained: High Impact Experiences    UHP Requirements Explained: High Impact Experiences  University Honors students (admitted for the Fall of 2022 or later) and University Scholars students complete a total of three high impact experiences (HIEs) by the time they graduate. These are opportunities for students to engage in experiential learning outside the classroom in a way that directly aligns with their individual goals. This requirement also gives students the opportunity to reflect on how these experiences impact their learning in preparation for life after college such as graduate school or employment applications.    This email is meant to serve as a gentle reminder that if you completed what would qualify as a High Impact Experience at any point during this academic school year, it is preferred you submit your reflection essay for that HIE before we get very far into the summer months. DO NOT stress over writing these reflections before your final exams are over, but please do submit them sometime soon after! Ideally, going forward, we would like students to submit their reflections within the same semester that their HIE concluded (within 4-6 weeks) so that the experience is still fresh in their minds and they have plenty of details to share in their reflection essay.    DISCIPLINARY BREADTH EXCEPTION: the exception to the above “deadline guideline” of “within 4-6 weeks of the experience concluding” is our “Disciplinary Breadth” category. If a student is double majoring or majoring and minoring in academic programs from two different academic colleges, we would rather you wait until the semester of your graduation to reflect on what studying under those differing academic programs has done for you as a person and future professional.     An explanation of the High Impact Experience requirement has always been linked on our website, but we have also recently recorded a short (4:19) video, linked below with a transcript, to better explain the HIE requirement and the various HIE categories under which students can submit their HIE reflections.    Since this video was recorded, an additional slide has been added to the HIEs Explained slide deck with some examples of professional and/or personally developmental opportunities available to students from around the University that would definitely qualify as a High Impact Experience upon successful completion.    HONORS CAPSTONE PROJECT : Remember that students who submit their undergraduate research as an Honors Capstone Project can earn two out of their three required High Impact Experiences at once!    If you have any questions or concerns about the High Impact Experience requirement for the Honors Program, please reach out to your Honors Program advisor.    To submit a High Impact Experience reflection essay, please use this Google Form.        Watch the Video (4:19) + Read the Transcript arrow        Facebook  Facebook  Instagram  Instagram         --  University Honors Program  NC State University  University College, Division of Academic and Student Affairs (DASA)  221 Jensen Drive, #219 Clark Hall  Campus Box 8610  Raleigh, NC 27695  P: 919-515-2353  F: 919-513-4392  honors.dasa.ncsu.edu      Advisor	       Advisees  Anne Auten	Last names beginning with A-Cn  Sean Cassidy	Last names beginning with Co-Gra  Ken Johnson	Last names beginning with Grb-Lar  Sean Cassidy	Last names beginning with Las-Pan  Meghan Teten	Last names beginning with Pao-Sie  Emily Koester	Last names beginning with Sif-Z    ""All electronic mail messages in connection with State business that are sent to or received by this account are subject to the NC Public Records Law. They are retained and may be disclosed to third parties.""",Neutral/Benign
"subject:	IMPORTANT ECE 403 001 Exam Tomorrow    Good Afternoon,    You do not know me because I am not in one of your classes but I’m reaching out to you on behalf of one of your current students Owen Gabriel Gromyko.    I’m honestly not sure if he is in your class but i know he is in ECE 401 001 and is expecting to take an exam tomorrow at 8:30. If he is not one of your students, I apologize and hope you can redirect me accordingly.    I’m sure this is unusual, but I want to ask if it would even be possible for him to take his exam at least later in the day. He is sick with what I believe is the flu. I’ve been tending to him for a bit and he is having HORRIBLE muscle fatigue, sweats, pains, etc. All classic signs of the flu. I came over after he took an exam this morning and he told me how bad he was doing and that he had no pain meds for his headache. As his partner I came to help him. I’ve been on his bedside changing a cool cloth every few minutes because his temperature keeps causing it to heat up so quickly. Unfortunately he doesn’t have a thermometer where he lives so I can’t even send formal proof of his state.     I told him to try and reach out earlier but he assured me there was no way his exam could be considered for a later time. However, considering the increased emphasis on student health physically and mentally, I was hoping you would consider, if nothing else, allowing him to take the exam at a different hour. As I’m sure you can conclude, being this sick and worrying about an 8:30 am exam is not ideal for the healing process.    I do apologize for any inconvenience this may cause or disrespect this may come across as on my part, but I want what is best for him and I’m confident an exam tomorrow is not that, much less at 8:30 in the morning.    I did not copy him on this email because I did not want his hopes to get up; plus I know him and he’d probably try to tough it out instead of risking offending a professor. I hope you will consider what I am suggesting.    Best,  Chloe Coursey",Neutral/Benign
"subject:	PY208 final    Good Evening Dr. Wang,    I’m reaching out in regards to my final exam. I attempted to set an appointment with the DRO office, but unfortunately they are fully booked for the day of the final exam. I was wondering how we could schedule my final exam to fit both of our schedules. My accomodations include Alternate testing sheets (not scantron/computer generated sheets), 50% extended time, and reduced-distraction settings. I’m sorry for any inconvenience this may cause.    Best,  Chloe Coursey  ",Neutral/Benign
"Re: PY208 final    Chloe:  Thank you for reaching out to me. I am more than happy to have you take the final exam with me.    My time is flexible. You can take the final exam with me the next day after the scheduled final exam. Will that day work or a day after that?    Best,    Hong",Neutral/Benign
"Subject: CSC216: EXAM 1    Good Evening Dr. Heckman,    My name is Chloe Coursey  and you have currently confirmed my accommodations for the semester through the DRO Office. However, before the exam next week, I wanted to reach out and ask if you planned on me taking it via moodle (as it is an online exam) with extended time or if you planned on me going to the DRO office in person.     Thank you,  Chloe Coursey",Neutral/Benign
"subject:	Re: CSC216: EXAM 1  Chloe,    The exam will be online and you should take the exam with DRO as scheduled.  I'll have the appropriate Moodle time configured for your accommodation.    ssh  --  , PhD  Teaching Professor and Director of Undergraduate Programs  Department of Computer Science, NC State University  https://people.engr.ncsu.edu/sesmith5/   she/her",Neutral/Benign
" subject:	Physics Lab 4/4/2022    Good Evening,         My name is Chloe Coursey and I am in your physics lab that starts at 7:30pm. I wanted to email you to let you know that I was throwing up not that long ago and as such am unable to make it to lab today. I’ll be filing an exemption form to try and accommo for the lab.      Thank you for your time,    Chloe Coursey",Neutral/Benign
"subject:	Re: Physics Lab 4/4/2022    Hi Chloe,  Thank you for letting me know.  Please let me know the earliest that you will be available so that I can accommo you in either one of my labs or another TA's labs.   I will mark you as absent for now and Prof. Egler might change it to 'EX' once your lab exemption request has been accepted.    Today's lab involved filling out the TA evaluation at go.ncsu.edu/py206_ta_eval   I kindly request you to fill out the same.    Wishing you a speedy recovery.    Regards,  Sharanya",Neutral/Benign
"subject:	WebAssign    Hello,    I am so so sorry for the late email and I totally understand if you cannot help me with this problem.    So recently, my parents bought a house in the Raleigh area (they currently live in DC) and went to settlement n move in today which I helped with. However, since it is a new house there is no wifi set up, but the wifi should be set up later today (the 28th) as a router and modem is coming  in the mail. i recognize i had the capabilities to finish my webassign assignments before now and I could have emailed earlier than this but with all the move in chaos I honestly forgot to email you about this and lost track of time as I had hopes to finish my syllabus quiz prelab and postlab before now. I am going to request an extension via webassign although I am not sure if i can do that now that the due time has passed. Regardless, I am very sorry for the late notice and this won’t happen again. I am normally very on top of my work and I honestly don’t know what happened here. I apologize for this inconvenience but still hope you will grant me an extension (although I understand if you deny the request).    Again, I am very sorry for this,  Thank you for your time,  Chloe Coursey",Neutral/Benign
"Subject: 🚨 𝐘𝐨𝐮𝐫 𝐀𝐜𝐜𝐨𝐮𝐧𝐭 𝐒𝐢𝐫𝐢𝐮𝐬 𝐗𝐌 𝐖𝐢𝐥𝐥 𝐁𝐞 𝐑𝐞𝐦𝐨𝐯𝐞𝐝 𝐓𝐨𝐝𝐚𝐲 Thu, 09 May 2024 05:06:57 +0200❗️ --  To: <ncjacksonpruett@gmail.com>        ncjacksonpruett    Payment attempt failure while renewing your subscription for siriusXM    your siriusXM subscription has Exired Today !    Dear Customer    We Failed To Renew Your SXM Membership .    INFORMATION about your account :  Customer ID:  #ncjacksonpruett  Email:  ncjacksonpruett@gmail.com  Statu:  Pending confirmation  EXPIRED   Thu, 09 May 2024 05:06:57 +0200  We tried renew your subscription at the end of each billing cycle , but your monthly payment has failed . We therefore had to cancel your subscription . Obviously , we would love to see you again . If you wish to renew your subscription click on the link below .    UP MY PAYMENT DETAILS    Note: iN CASE OF IGNORANCE , Your Services will Be Completely Suspended within 24 Hours According To the Terms Defined in our Contracts                ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌  ‌",Urgent/Threatening
"Subject: ❤️‍🔥This dating website that I am on is  great for locals like us and I’m ready to invite men  in my area  that would like to enjoy a  with me.😊    ﻿  💞I'm Avery and I'm on the lookout for a close guy who is kind and knows how to have a good time. Are you interested in being my match on the dating website? 💕💝 💦My photos here are for you😊 .  http://lolly603.heartbeathub.info",Suspicious/Scam
"Subject: Please Read: Scholarship Deadline Approaching  To: <kplayer054@gmail.com>        Hi Katherine,    Getting into North Carolina State University already required enough work.    Applying to our $2k scholarship takes only 2 minutes and gets you one step closer to paying for college. Click the link below to get started:     Apply Now  Warm Regards,  Chris and Nikhil  Co-Founders of Juno    Who we are: Juno is on a mission to make college more affordable for everyone. We have over 150,000 members across every top college in the United States. About us.",Neutral/Benign
"Subject: ROLL CALL  To: Greg Morris <gmorris@andrew.cmu.edu>  *Office of the Recruitment Specialist,Student Services,Carnegie Mellon University Services, urgently requires a Research Assistant for a Remote Position to earn $300 weekly.  The Student Services Recruitment Specialist,**Stefan Bernhard*    *is currently working on Research and would require the services of Students (Graduate/Undergraduate) of any Department of the Institution to Obtain a Remote Position in this Research. Slots are limited and acceptance will be given on a first come first serve basis.     To proceed with the application process, contact* *Stefan Bernhard*    * via email at {berhs34@gmail.com <berhs34@gmail.com>} using your alternate email stating your full name, email address, year of study, and department regarding the job description and further application requirements.Prof Stefan BernhardThe Student Services Recruitment Specialist,**Carnegie Mellon University*  *Pittsburgh, PA  *",Urgent/Threatening
"Subject: CMU Intern Opportunity at The Department of HistoryStudents at Carnegie Mellon University!    The Department of History has some fantastic internship opportunities available, and the department welcomes applications from all majors. This opportunity is designed to provide financial assistance to students who might be facing some financial challenges, while also giving them the chance to gain some invaluable research experience.    These internships are completely remote! That means you can work from the comfort of your own home or even on-campus if you prefer. The time commitment is pretty chill too, with a maximum requirement of just seven hours a week. Plus, the schedules are super flexible, so you can easily fit them around your other commitments.    If you're chosen for one of these internships, you will receive a weekly salary of Three Hundred and Fifty dollars    If this sounds like an opportunity you don't want to miss, all you need to do is reach out to Professor Jay Aronson at aronsonjjay@gmail.com [mailto:aronsonjjay@gmail.com] with your full Names, year of study, department, school email address and alternative email address (preferably Gmail) for details about the job description and any additional application requirements.    Oh, and one more thing: these positions are filled on a first-come, first-served basis. So don't waste any time and get that email sent ASAP!    Sincerely,  Office of the Department of History  Carnegie Mellon University.",Urgent/Threatening
"Subject: Good360 Part-Time Job Offer  To: gmorris@andrew.cmu.edu  Reply-To: ""romaine.seguin@good360jobs.org"" <romaine.seguin@good360jobs.org>  Good360 is seeking individuals to help expand their charity network across the country. They're looking for passionate individuals to join their team as Community Care Workers.    This part-time, work-from-home job offers a competitive weekly salary of $550. If you're interested in making a difference and joining their team alongside 1.5 million volunteers and 6.8 million donors, Kindly send your resume/application using your frequently personal email for regular communication.    Community Outreach Team  Good360",Suspicious/Scam
"Subject: Employee Benefits Program  To: Greg Morris <gmorris@andrew.cmu.edu>  We're excited to announce that the Employee Assistance Program (E.A.P) is now open for applications, welcoming all current employees for the end-of-2023 round. Eligible employees can now request funding of up to $5,000.    The E.A.P presents a multitude of avenues for support. Employees can apply for various forms of assistance, including financial aid, relief materials, short-term counseling, referrals, and ongoing services. Embedded within our ongoing dedication at the Employee Support Service (ESS) to bolstering employee well-being, the Employee Assistance Program is designed to ease financial burdens and extend a helping hand.    To apply for the New EAP, please use the following link [link removed]         Please note that the E.A.P portal is secure, and you will need to authenticate with your Campus profile to access the application portal.    Sincerely,    Roni Caniago  Employee Support Service ESS",Suspicious/Scam
"Subject: BME385 : Inquiry Regarding Results Section and RMSE Calculation  To: Derek Kramper <dgkamper@ncsu.edu>  Hi Dr. Kamper,     I hope you had a great weekend. I apologize for reaching out with last-minute queries. Currently, my lab partner and I are working on the Results section, and I am a bit confused with the data representation. If I recall correctly, you mentioned that we need a data table for Voltage vs. Force. Could you please confirm if we can report the average of the voltage output for each force? Attached is a screenshot of the table I made, using the averaged voltages.I'm also not sure how to find the RMSE values because I don't know how to calculate the expected force values. Do you mind giving me a hint for this?     Thank you for your time and guidance!    Best,  CN",Neutral/Benign
"Subject: RE:BME385 : Inquiry Regarding Results Section and RMSE Calculation  To:   Hi Cyndy,    You should include all of the data in your table (3 separate measurements for each force). RMSE refers to the fit of the model -   what is the difference between your data points and the value predicted by the line or the quadratic curve predicted by the model  (RMSE for the fit of each model).      Best,  Derek Kamper, Ph.D.  Associate Professor, Joint Department of Biomedical Engineering  Associate Director, Closed Loop Engineering for Advanced Rehabilitation (CLEAR)  North Carolina State University  University of North Carolina at Chapel Hill  (919) 515-4411",Neutral/Benign
"Subject: GCSP-REU Welcome Event Panelist Request  To:   Hi Cindy and Noah,   You are both returning GCSP-REU Scholars this summer. Congrats on your acceptance and I look forward to working with you both again!   I am reaching out to request that you both are panelists for the GCSP-REU Welcome event on 5/20. I can provide you with the questions ahead of time (likely by Monday, 5/13). They will be regarding your research, current projects, REU experience, etc.   Please respond to this email to let me know if this is something you are willing to help with, I would truly appreciate it!   Best,   --  Chloe Hincher (she/her/hers)",Neutral/Benign
"Subject: RE: GCSP-REU Welcome Event Panelist Request  To:Chloe Hincher <cghinche@ncsu.edu>  Hi Chloe,    I hope this email finds you well. I wanted to inform you that I recently received an internship offer from a company I interviewed with last month, and I have accepted the offer. Unfortunately, this means that I will no longer be participating in the GCSP-REU program this summer. I apologize for any inconvenience this may cause.    However, I would still love to be a panelist for the GCSP-REU Welcome event on 5/20 if you are looking for someone to help. Please let me know if this is something you would like me to do, and I would be more than happy to assist in any way I can.    Wishing you luck running the program this summer!    Best,  CN",Neutral/Benign
"Subject: Re: GCSP-REU Welcome Event Panelist Request  To:   Hi Cindy,  Thank you for letting me know. Congratulations, I'm so happy for you! Receiving an internship offer is a huge accomplishment.   I would still appreciate your insight on the panel. You have a unique perspective to talk about how you plan to translate what you learned from the REU experience into industry. I will send you the prompts soon (hopefully Monday) and look forward to seeing you at the Welcome Event!   Best,   Chloe ",Neutral/Benign
"Subject: RE: GCSP-REU Welcome Event Panelist Request  To:Chloe Hincher <cghinche@ncsu.edu>  Sounds good! You can send me the prompts whenever! Thank you for coordinating the panel :)     - CN",Neutral/Benign
"Subject: Re: Mastering Tech Skills Program  To:   The tech industry is evidence driven as recruiters want to see projects executed within time limits.        Are you willing to work remotely as a part- time, Data Entry Operator/Data Analyst      Wages: USD 500 WEEKLY   Work hours: 2 - 3 Hours WEEKLY (At Your Own Availability)        No Qualifications are required as you will be properly Trained.         If interested, for more information send your name and phone  number for review directly to pearsontammy1991@gmail.com     Best Regards",Suspicious/Scam
"Subject: Re: STUDENT PART-TIME INTERNSHIP PROGRAM  To: Cindy Nguyen <t1ngue6@ncsu.edu>  We are currently hiring students to work remotely as a Virtual Administrative Assistant to give DATA ENTRY support and get paid $550 weekly.  No skills are required as you will be trained. All tasks will be carried out virtually on your Computer.   To proceed with this application, kindly send  your full name and functional phone number for review and interview about the Job position to: drkayden.meyer@gmail.com    Thanks.",Suspicious/Scam
"Subject: JOB OFFER - HIRING NCSU STUDENTS NOW  To: <nhgrant@ncsu.edu>, <jagreen7@ncsu.edu>, <jggrigg@ncsu.edu>, <jegraha2@ncsu.edu>, <jrgreen9@ncsu.edu>, <jagriff8@ncsu.edu>, <kggreeso@ncsu.edu>, <kgraves2@ncsu.edu>, <kjgriff2@ncsu.edu>, <ljgreenl@ncsu.edu>, <legrady@ncsu.edu>, <fmgrimes@ncsu.edu>, <mggreenw@ncsu.edu>, <mdgriese@ncsu.edu>, <njgriff2@ncsu.edu>, <ncgriffi@ncsu.edu>, <nmgraybi@ncsu.edu>, <oggromyk@ncsu.edu>, <ojgriffi@ncsu.edu>, <pcgranth@ncsu.edu>, <ragriff2@ncsu.edu>, <rmgreco@ncsu.edu>, <sbgraha2@ncsu.edu>, <sjgrove@ncsu.edu>, <trgreene@ncsu.edu>, <wbgross@ncsu.edu>, <ajgray3@ncsu.edu>, <amgree28@ncsu.edu>, <akgross2@ncsu.edu>, <aegray6@ncsu.edu>, <ajgrisso@ncsu.edu>, <ahgriff3@ncsu.edu>, <amgraul@ncsu.edu>, <algriff7@ncsu.edu>, <algreco@ncsu.edu>, <atgrondz@ncsu.edu>, <bjgriswo@ncsu.edu>, <bbgriffi@ncsu.edu>, <cegrubb2@ncsu.edu>, <cagrogg@ncsu.edu>, <cmgray4@ncsu.edu>, <crgrace@ncsu.edu>, <dhgriffi@ncsu.edu>, <dagraha2@ncsu.edu>, <djgreen9@ncsu.edu>, <drgrimes@ncsu.edu>, <edgrinds@ncsu.edu>, <gcgraha3@ncsu.edu>, <vlgrady@ncsu.edu>, <hrgroove@ncsu.edu>    Hello student,     I'm glad to inform you Nagina Cotton Mills Limited is currently running a part time job opportunity program that helps hard working and reliable student like you qualify for an avenue to earn more income within few hours and once a week.     Weekly Payment: $550 weekly.  READ CAREFULLY: This program does not hinder you from doing others job but as a student it helps to build your financial status.        ABOUT THE COMPANY        Nagina Group was founded on May 16th 1967 with the incorporation of Nagina Cotton Mills Limited. Since then Nagina Group has expanded its operations in textile manufacturing and has diversified into other sectors. Currently, Nagina Group’s textile manufacturing capacity is 141,708  spindles and 382 air jet looms.  A steady and well thought out growth strategy coupled with a solid commitment to quality has earned Nagina Group a family of satisfied customers, hardworking employees, appreciative shareholders and the confidence of the banking community. The core businesses of Nagina Group generate an annual turnover in excess of 180 Million US dollars. Due to decades of dealing with Pakistani, North American, European and Far Eastern customers Nagina Group has created a skilled and knowledgeable management fully capable of understanding and responding to customer needs in record time.  Nagina Group consists of three publicly listed companies on the Pakistan Stock Exchange (Nagina Cotton Mills Limited, Ellcot Spinning Mills Limited, Prosperity Weaving Mills Limited), five private companies (Monell (Pvt.) Limited, Icaro (Pvt.) Limited, Haroon Omer (Pvt.) Limited, Ellahi International (Pvt.) Limited), ARH (Pvt.) Limited), and employs over 3,500 employees. Nagina Group was selected in 2003 by Forbes Magazine as one of the best 200 international companies with an annual turnover of under a billion US dollars.        Job Description:- Financial Empowerment.  Job Title:- Middlemen  Job Type:- Part Time  Weekly Payment:- $550  Required hours:- 2 hours/weekly     Responsibilities:- Your task for the company will basically be on helping the supplier to keep record of materials he or she bought for the week.You will be getting paid every Friday of the week; we shall Email you a paycheck to cover your weekly payment and also includes money for you to pay the supplier so he or she can start working on materials that will be supplied.        The supplier will only order for materials weekly between Mondays and Saturdays depending on the task he/she is to complete for that week. You are to carry out your own job task as assigned to you and this may require 2-hours in a day and once in a week. No prior experience is necessary because we would give you instructions and guidelines on how to carry out your job task perfectly and effectively. Your own part of the work can be completed at your leisure time in school or at home. But, we do not encourage delay. You have to keep to the instructions and guidelines so as to get your part of the job done effectively. If you wish to proceed with the job, get back to us with your valid information        Requirements:        FULL NAME  PHYSICAL CONTACT ADDRESS or P.O BOX  CITY  STATE  ZIP CODE  D.O.B  GENDER  PHONE NUMBER  PERSONAL EMAIL  CURRENT JOB.     We shall contact you as soon as we receive and vali the information you provide.  Get back to us with your response to know you are interested in this program.     Nagina Cotton Mills Ltd",Suspicious/Scam
"Subject: Interview Invite: Undergraduate student experience  To:   Hey there!    Checking in: how's life at North Carolina State University at Raleigh? We're eager to improve life on campus, and you can help!    Fill out our quick survey to share your thoughts on the campus political climate. The next 37 students to finish the survey will get $8 to spend at coffee shops and 700+ stores & charities.    Start the Survey    Cheers,  College Pulse Team      Unsubscribe",Suspicious/Scam
